Jurisdiction,Rate,Operational,Design,Custody population,Year
Connecticut,,,,16594,2013
Delaware,5775,5210,4161,6798,2013
Florida,,114995,,100940,2013
Georgia,60638,54583,,53701,2013
Hawaii,,3327,2291,3752,2013
Idaho,,6924,7010,7219,2013
Illinois,32075,32075,28192,48653,2013
Indiana,,30917,,28495,2013
Iowa,,,7109,8106,2013
Kansas,9180,9233,9164,9515,2013
Kentucky,12157,13062,13857,12141,2013
Louisiana,18121,15531,16764,18794,2013
Maine,2339,2033,2339,2073,2013
Maryland,,23465,,21676,2013
Massachusetts,,,8029,10622,2013
Michigan,44846,43985,,43704,2013
Minnesota,,9099,,9391,2013
Mississippi,,25691,,15591,2013
Missouri,,31681,,31499,2013
Montana,1679,,,1666,2013
Nebraska,,3969,3175,5012,2013
Nevada,,,,,2013
New Hampshire,,2848,2190,2848,2013
New Jersey,19461,20959,22902,19528,2013
New Mexico,6485,7428,7428,3783,2013
New York,52855,53408,52330,53312,2013
North Carolina,,39206,33615,37176,2013
North Dakota,1044,991,1044,1571,2013
Ohio,34986,,,46224,2013
Oklahoma,18607,18607,18607,18313,2013
Oregon,,,14362,14605,2013
Pennsylvania,47780,47780,47780,49735,2013
Rhode Island,3989,3774,3973,3168,2013
South Carolina,,23806,,21534,2013
South Dakota,,3633,,3596,2013
Tennessee,22264,21528,,15655,2013
Texas,161173,154901,161173,140839,2013
Utah,,7191,7431,5382,2013
Vermont,1681,1681,1322,1579,2013
Virginia,31658,,,28431,2013
Washington,16799,16488,,17760,2013
West Virginia,4948,5778,4948,5708,2013
Wisconsin,,22923,17181,22443,2013
Wyoming,2288,2288,2407,2036,2013
Federal,132731,,,169840,2014
Alabama,,26145,13318,25664,2014
Alaska,,5352,,5188,2014
Arizona,37681,42961,37681,35181,2014
Arkansas,15450,15429,15529,15250,2014
California,,127594,87187,119071,2014
Colorado,,14502,14502,16687,2014
Connecticut,,,,16167,2014
Delaware,5649,5210,4161,6730,2014
Florida,,109191,,100873,2014
Georgia,59566,53418,,52719,2014
Hawaii,,3527,2491,3965,2014
Idaho,7010,6858,6858,7497,2014
Illinois,32095,32095,28212,48278,2014
Indiana,,30517,,28073,2014
Iowa,7276,7276,7276,8209,2014
Kansas,9180,9233,9164,9539,2014
Kentucky,12164,11590,11925,12114,2014
Louisiana,18121,15686,16764,18710,2014
Maine,2339,2133,2339,2199,2014
Maryland,,23465,,21236,2014
Massachusetts,,,8029,10447,2014
Michigan,44919,43939,,43359,2014
Minnesota,,9454,,9576,2014
Mississippi,,26008,,13069,2014
Missouri,,31673,,31903,2014
Montana,1679,,,1687,2014
Nebraska,,4094,3275,5228,2014
Nevada,,,,12693,2014
New Hampshire,,2723,2190,2723,2014
New Jersey,18584,19958,23108,18633,2014
New Mexico,6840,7708,7708,3876,2014
New York,51480,51868,50960,52362,2014
North Carolina,,43815,37503,37348,2014
North Dakota,1479,1479,1479,1325,2014
Ohio,34986,,,46151,2014
Oklahoma,16529,18638,16529,19126,2014
Oregon,,,14997,14492,2014
Pennsylvania,47945,47945,47945,48538,2014
Rhode Island,3989,3774,3973,3133,2014
South Carolina,,23269,,20948,2014
South Dakota,,3622,,3497,2014
Tennessee,22263,21526,,15699,2014
Texas,159583,153331,159583,139879,2014
Utah,,7191,7431,5307,2014
Vermont,1681,1681,1322,1548,2014
Virginia,,30514,24219,28480,2014
Washington,,16744,,17180,2014
West Virginia,4647,5923,5097,5867,2014
Wisconsin,,22918,17181,22572,2014
Wyoming,2288,2288,2407,2114,2014
Federal,134461,,,160946,2015
Alabama,,25763,13318,24814,2015
Alaska,,5352,,5247,2015
Arizona,37238,43747,37238,35733,2015
Arkansas,16194,16233,15382,15784,2015
California,,127482,87287,116569,2015
Colorado,,14584,14584,15972,2015
Connecticut,,,,15500,2015
Delaware,5500,5210,4161,6437,2015
Florida,,105351,,99485,2015
Georgia,59332,53961,,52002,2015
Hawaii,,3527,2491,4073,2015
Idaho,6903,,,7238,2015
Illinois,31864,31864,27981,46240,2015
Indiana,,30020,,26586,2015
Iowa,7322,7322,7322,8230,2015
Kansas,9180,9514,9164,9533,2015
Kentucky,14349,14349,14349,11959,2015
Louisiana,18121,15524,16764,18447,2015
Maine,2256,2478,2478,2190,2015
Maryland,,23025,,20921,2015
Massachusetts,,,7728,9493,2015
Michigan,44734,43996,,42628,2015
Minnesota,,9454,,9578,2015
Mississippi,,23516,,13967,2015
Missouri,,32241,,32295,2015
Montana,1692,,,1686,2015
Nebraska,,4094,3275,5133,2015
Nevada,,,,13235,2015
New Hampshire,2583,2700,1966,2661,2015
New Jersey,17427,18605,23152,17431,2015
New Mexico,7093,7882,7882,4078,2015
New York,51480,51676,50957,51485,2015
North Carolina,,43815,37503,36888,2015
North Dakota,,1353,1353,1345,2015
Ohio,34986,,,46190,2015
Oklahoma,16529,19497,16529,19875,2015
Oregon,,,14997,14655,2015
Pennsylvania,48025,48025,48025,48241,2015
Rhode Island,3989,3774,3973,2982,2015
South Carolina,,23156,,20457,2015
South Dakota,,3594,,3514,2015
Tennessee,15836,15416,,14628,2015
Texas,160017,153789,160017,138199,2015
Utah,,7191,7431,4831,2015
Vermont,1681,1681,1322,1509,2015
Virginia,,29633,,30430,2015
Washington,,16828,,17222,2015
West Virginia,5159,5987,5159,5925,2015
Wisconsin,,22896,17181,22914,2015
Wyoming,2288,2288,2407,2133,2015
Federal,135334,,,154339,2016
Alabama,,25784,13318,23397,2016
Alaska,4838,,,4378,2016
Arizona,38895,44831,38895,42248,2016
Arkansas,16410,16449,15626,15833,2016
California,,126832,89763,117557,2016
Colorado,,14582,13155,15922,2016
Connecticut,,,,14532,2016
Delaware,5514,5566,4092,6334,2016
Florida,,88738,,85834,2016
Georgia,58975,53527,,53433,2016
Hawaii,,3777,3527,3777,2016
Idaho,,7005,,7221,2016
Illinois,31661,26584,27778,43616,2016
Indiana,,29000,,25143,2016
Iowa,7288,7288,7288,8378,2016
Kansas,9180,9654,9164,9653,2016
